Nom et nature,Conditionnement,PPV
"NUVIVAX 10 MG, Comprimé enrobé",Boite de 4,130
"COSMOFER 50 MG / ML, Ampoule",Boite de 5 ampoules de 2ml,308
"TAREG 40 MG, Comprimé pelliculé",Boîte de 28,124.1
"AMIPAR 10 MG/ML, Solution pour perfusion à 1G",Poche de 100 ML,30.1
"CO-ZENOVAN 80 MG / 12.5 MG, Comprimé pelliculé",Boite de 30,156.3
"VALIUM ROCHE 10 mg, Comprimé sécable",Boîte de 30,24.3
"ACNO 10 MG, Capsule molle",Boîtede 30,152
"DUOVIR 150MG/300 MG, Comprimé",Boîte de 60 comprimés pelliculés,166.3
"ECOCLAV 1 G / 125 MG, Sachet",Boite de 16,115.9
"GLUCOSE 5% GÉNÉRATION SANTÉ, Soluté injectable","Poche souple Flip Off en PVC plastifié, 100 ml",16
"SERETIDE DISKUS, Poudre pour inhalation en Récipient unidose 500mcg/50mcg par dose",Flacon de 60 doses,338
"METHYLPREDNISOLONE MYLAN 20 MG, Poudre Solution injectable(IM-IV)",Boîte de 20 flacons,285
"SOLACY PEDIATRIQUE 36,30mg-11mg-2,00mg , Comprimé pour suspension buvable",Boîte de 30,35.5
"NEURLEP 50 MG, Gélule",Boîte de 20,24
"MYNAZOL 150 mg , Gélule",Boîte de 4,75.4
"OSMAL 7.5 MG, Comprimé",Boite de 15,38.6
"VALIUM GOUTTES 1%, Solution buvable",Solution buvable en facon de 20 ml,28.6
"RADIOSELECTAN 76%, Solution injectable",Flacon de 50 ml,136.8
RANITIL 150 mg Comprimé,Boîte de 20,76.9
"MESTINON 60 MG, Comprimé",Flacon de 20,62.9
"TEGUMA 1 %, Crème",Tube de 15g,45
"BK-CID 150 MG, Gélule",Boîte de 100,144.1
"QUINOLOX 200 MG, Comprimé pelliculé",Boîte de 10,101
"RECORMON 30 000 UI / 0,6 ML, Solution injectable",Boîte de 4 seringues pré-remplies,11083
"LITAK 10 MG / 5ML, Solution injectable pour injection ou perfusion",Boite de 5 flacons,16500
"GENTAGAM 120 MG, Solution Injectable",Boite de 6,71.9
"CLIMASTON 1 mg /5 mg , Comprimé pelliculé",Boîte de 28,92
"TEGRETOL 200 mg, Comprimé sécable",Boîte de 50,81.1
"O-LINE 5 MG, Comprimé orodispersible",Boite de 7,46
"LOTEVAN 10 MG / 160 MG, Comprimé pelliculé",Boite de 30,247
"EUZOL 40 MG, Gelule",Boite de 28,216
"BIODROXIL 500 MG, Gélule",Boîte de 12,76.5
"STATICOL 20 MG, Comprimé enrobé sécable",Boîte de 14,50
"PHIPIXA 10 MG, Comprimé pelliculé",Boite de 28,150
"SULIAT 160 MG / 10 MG, Comprimé pelliculé",Boite de 56,306
"ORADEXON Elixir 0,05mg/ml, Sirop",Flacon de 100ml,16.3
"ZENMAG , Gélule",Boite de 32,84.7
"PROTADEX 150 MG, Comprimé pelliculé",Boite de 28,962
"PRADAXA 75 MG, Gélule",Boite de 10,197.8
FLUCTINE GENPHARMA 20 mg Gélule,Boîte de 12,50
"PREMOCEFAL 125 mg/5ml , Poudre pour sirop",Flacon de 60 ml,31
"GENTOSYL 40 MG, Soluté Injectable , Ampoule de 2 ml",Boîte de 1,12
"CADELIUS, Comprimé orodispersible",Boite de 30 dosés à 600 MG et 1000 UI de vitamine D3,128.7
"GESTARELLE G, Capsule",Boite de 15,50
"VARGATEF 150 MG, Capsule molles",Boite de 60,27623
"BLÉDILAIT CROISSANCE 3, Lait",Boite de 300,57
"GLYCEMAT 30MG LM, Comprimé",Boite de 60 comprimés à libération modifiée,68.5
"EPIGAB 300 MG, Gelule",Boite de 30,255
"LUTENYL 5 mg , Comprimé sécable",Boîte de 10,57
"XENETIX 300 mg Iode/ml , Solution injectable",Boîte de 1 Flacon de 100 ml,556
"EPIVIR 150 MG, Comprimé",Boîte de 60,1588
"NICOPATCH 21 mg/24 h , Dispositif transdermique",Boîte de 7 Sachets,250
"MEIACT 200 MG, Comprimés pelliculé",Boite de 20,224.1
"NOVALAC AR 2EME AGE, Lait",Boite de 400G,67
"PRIMALAN 5 mg, Comprimé sécable",Boîte de 14,28.6
"CALCIFIX D3 500mg /400 UI , Comprimé",Boîte de 30 comprimés à croquer ou à sucer,42.2
"NEWGLIN 1 MG, Comprimé",Boite de 90,148.2
"FARLUTAL 500 MG, Comprimé",Boîte de 30,867
"ULCESTOP 400 mg , Comprimé dispersible",Boîte de 20,66.3
"BUPIVACAINE POUR RACHIANESTHÉSIE AGUETTANT 5mg/ml, Solution injectable",Boîte 20 ampoules de 4 ml,722
"BACTOX 125 MG, Poudre pour suspension buvable",Flacon de 60 ml,20.5
"NOLIP 20 MG, Comprimé pelliculé",Boite de 10,96.5
ZYLORIC 200mg Comprimé,Boîte de 28,31.3
"HEXTRIL 0,10 %, Bain de bouche",Flacon de 200 ml,13.65
"MOSCONTIN 100 MG, Comprimé enrobé L.P",Boîte de 14,295
"TRIFAX 1 G IV, Poudre pour usage parentéral + solvant",Poudre pour usage parentéral IV+ampoule de 10 ml Eppi,106.8
"OROTREX 10 mg, Capsule molle",Boîte de 10,66
"NOOTROPYL 200 mg , Solution buvable",Flacon de 125 ml,56.1
DIABYL 500 mg Comprimé,Boîte de 50,20.4
"TUBERCULINE 2 UT / 0,1 ML, Solution injectable",Boîte de 1 Flacon de 15 doses,214
"SPIBAC 3 MUI, Comprimé pelliculé",Boite de 16,85
"DRILL EXPECTORANT ADULTE SANS SUCRE 5%, Solution buvable",Flacon de 150ml,25.5
"ASUMATE 20, Comprimé",Boite de 21 comprimés dosés à 100 ug de lévonorgestrel et 20 ug d'éthinyl estradiol,52.3
"MOSCONTIN 10 MG, Comprimé enrobé L.P",Boîte de 14,46.7
"SINGULAIR 4 MG , Sachet",Boîte de 28,297
"ENANTONE LP 3,75 mg Poudre pour suspension injectable à libération prolongée",Boîte de 1 flacons de 9 ml,
"ANTAGON H2 400 MG, Comprimé",Boîte de 30,121.3
"ZENOXIA 15 MG, Comprimé",Boite de 10,43.9
"GAVISCON ADVANCE 500 MG / 100 MG, Suspension buvable en sachet",Boite de 12,98.9
"VIDANE,Sirop",Flacon de 120 ml,44.5
"ACTEMRA 162 MG / 0.9 ML, Solution pour injection sous cutanée",Boite de 4 seringues pré-remplies,10450
"ESCIPLEX 10 MG, Comprimé pelliculé sécable",Boite de 14,71.8
"PULPARTHROL 16,45 g/9,5 g , Solution pour usage dentaire",Flacon de 14 ml,
"GAPREX 75 MG, Gélule",Boite de 10,43.5
"SPIRALIDE 3 MUI, Comprimé pelliculé sécable",Boîte de 10,69.1
"BAXMUNE 500 MG, Comprimé pelliculé",Boite de 30,428
"BEPANTHENE 5%, Crème",Tube 30g,45
"VERMOGAL, Gel",Tube de 60 g,19
"SULFOBACTIN 250 MG, Comprimé",Boîte de 40,53.3
"ARES 500 MG, Comprimé",Boite de 20,127.8
"SOPHOS 400 MG, Comprimé pelliculé",Boite de 28,3000
"EXIDIEP 20 MG, Comprimé enrobé",Boite de 10,74.4
"PANALGIC 500 MG / 50 MG , Comprime effervescent",Tube de 16,17.4
"DYSPORT 500 UNITÉS speywood, Poudre pour Solution injectable",Boîte de 1 Flacon de 3 ml,2812
"TENOCAN 100 MG, Comprimé",Boîte de 28,83.1
"AMOVAS 10 MG, Comprimé",Boîte de 10,31.6
ETOPOSIDE MYLAN 20mg/ml solution pour perfusion,Boîte de 10 flacons de 5 ml,1013
"DOXICAN 20 MG, Suppositoire",Boîte de 6,40
"TRAMIUM 100 MG, Gélule LP",20 gélules,92
"AFINITOR 5 MG, Comprimé",Boite de 30,20304
"FRAXODI 15200 UI AXA / 0,8 ML, Seringue pré-remplie",Boîte de 2,329
"DOLIPRANE 150 MG, Sachet",Boîte de 12,9.7
"LISASPIN 250 MG, Poudre orale",Boîte de 20,18.9
"ETHAMBUTOL PHARMA 500 mg , Comprimé",Boîte de 20,35.7
"PROFENID 200mg , Comprimé à libération prolongé",Boîte de 14,84.5
"EQUORAL 100 MG / ML, Soluté buvable",Flacon 50 ml,1622
"AMIKLIN 500 MG, Poudre et solvant pour Solution injectable",Boîte de 1 Flacon + Ampoule,183.7
"THYMOGLOBULINE 25mg/5ml, Poudre pour solution à diluer pour perfusion",1 flacon de 5 ml,1817
"DOTAREM 0,5 mmol/ml, Solution injectable",Boîte de 1 Flacon de 15 ml,979
"ZEPTOL LP 200 MG, Comprimé",Boite de 50,60
"REFACTO AF 250 UI, Injectable poudre + flacon",Boite de 1 seringue,2397
"TAMSULOSINE?WIN® LP 0,4 MG, Comprimé",Boite de 30 gélules à libération prolongée,98
"PROVIVE 1%, Émulsion injectable ( IV)",Boite de 5 flacons de 20 ML,316
"PRADAXA 75 MG, Gélule",Boite de 30,530
ESTRAPATCH 80µg/24heures Dispositif transdermique (Patch) en Sachet,Boîte de 4 Sachets,95.5
"ANGINIB 50 MG, Comprimé",Boîte de 14,45
"ZAURAC 20 MG, Comprimé",Boite de 7,20
"DILATOR 2.5 MG / 2.5 ML, Solution pour inhalation",Boîte de 10,41.2
FITEX Solution 1%,Flacon de 15 ml,34
"FORADIL 12 µg, Gélule pour inhalation",Boîte de 30,172.2
"ESOMYK 150 MG, Gélule",Boite de 8,88
"MEPRAMIDE 0,1 % Solution buvable",Flacon de 120 ml,28.2
"STAPHYMYCINE 1000 mg Injectable,",Boîte de 1 flacon + 1 solvant : Eau PPI,21.8
"APTAMIL 1ER AGE, Lait",Boite de 400G,78
"TRANXENE 10 mg , Gélule",Boîte de 30,23.7
"VOIZIN 0.4 %, Goutte buvable",Boite de 1 flacon de 30 ML,17.6
"HUMOREX 10 MG, Comprimé pelliculé",Boite de 30,131
"ACLAV 1 G / 200 MG ADULTE, Suspension injectable",1 Flacon,33
"NEPZAN 10 MG, Comprimé pelliculé",Boite de 14,134.5
"FLODIL LP 5 MG, Comprimé",Boîte de 28,117.8
"LEVITRA 20 MG, Comprimé pelliculé",Boîte de 4,572
"TETRAXIM, Préparation injectable",Boîte d'une seringue d'une dose,144
"XARELTO 10 MG, Comprimé pelliculé",Boite de 100,2622
"DAKTARIN 2%, Gel buccal",Boîte de 1 Tube de 40 g,53
"ALTEC 10 MG, Gélule",Boite de 30,80
"HERPEVIR 200 mg, Comprimé",Boîte de 25,171
"ZIVLOX 400 MG, Comprimé pelliculé",Boite de 5,196.5
"AKINDEX ENFANT 0,100 G / 100 ML, Sirop",Flacon de 125 ml,19.4
"MIDANIUM 5 MG / 5ML, Solution injectable",Boîte de 10 ampoules de 5 ml,126.4
"OSPAMOX 250 MG / 5ML , Granules pour suspension buvable",Flacon de 60ml,26
"SANDIMMUN 100MG, Solution Buvable",Flacon de 50ML,1755
"VIRTAL 10 MG, Comprimé pelliculé",Boite de 12,354
"SANDIMMUN du 50 mg/1 ml Perfusion I.V,",Boîte de 10 ampoules de 1 ml,
"NURSIE AR 2EME AGE, Lait",Boite de 400G,68
"HALAVEN 0.44 MG/ML, Solution injectable",Boite de 1 flacon de 0.5 ML,4088
"MIRENA 20 µG / 24 heures, Dispositif intra utérin hormonal",1 Dispositif,
"PENAMOX 250 MG, Comprimé dispersible",Boîte de 24,58.6
"FLUPEN 125 mg / 5 ML, POUDRE POUR SUSPENSION ORALE",Flacon de 60 ml,18
"ISOLONE 50 MG, Comprimé",Boîte de 20,85.8
"CRESTOR 10 MG, Comprimé pelliculé",Boîte de 30,243
"BELARA 2 MG / 0.03 MG, Comprimé pelliculé",Boite de 21,85.3
"ANASTROZOLE ZENITH 1 MG, Comprimé pelliculé",Boite de 28,441
"PANALGIC 500 mg/50 mg , Comprimé",Boîte de 16,15
"OXALIPLATINE HOSPIRA 50 MG / 10 ML, Solution à diluer pour perfusion",Flacon de 10 Ml,723
"COVERAM 5 MG / 5 MG, Comprimé",Boite de 30,208
"LANTUS 100U/ml , Solution injectable",Boîte d'une cartouche de 3 ml,152.5
"CACIT 500 Mg, Comprimé",Boîte de 20 comprimés effervescents,36
"PNEUMOCCID 1G, Comprimé dispersible",Boîte de 24,96.8
"ZOLADEX 3,6 mg , Implant injectable",Boîte de 1 Seringue préremplie,1346
"BIGUAN 500 MG, Comprimé",Boîte de 50,19.4
"EPIVIR 10 MG / ML, Solution buvable",Flacon de 240 ml,532
"INIKAL 5 MG, Comprimé",Boîte de 60,81
"DISPAMOX 500 MG, Poudre pour suspension buvable",Flacon de 100 ml,52
"NOCOL 40 MG, Comprimé pelliculé",Boîte de 30,171
HYDRALIN Poudre en sachet,Boîte de 30,40.4
"FLOXAM 500 MG Injectable, Poudre pour préparation Injectable",Boîte de 1 flacon + 1 solvant : Alcool benzylique à 3%,13.6
"VIRECTIL 100 MG , Comprimé pelliculé",Boîte de 1,49.2
NPLAT 250 MICROGRAMME,PPV: 6926.00 dhs,
"RANSIMVA 20MG, Comprimé pelliculé",Boite de 60,188.5
"ZOPHREN 8 MG, Comprimé",Boîte de 10,609
"THROMBOPAT 250 MG, Comprimé pelliculé",Boîte de 30,150
"MOSCONTIN 30 MG, Comprimé enrobé L.P",Boîte de 14,108.9
"SPIRAMYCINE LAPROPHAN 0.75 MUI, Comprimé",Boite de 20,32
"TAXOL 6 MG / ML , Solution à diluer pour perfusion",Boîte de 1 Flacon de 5 ml,619
"PARACETAMOL NORMON 10 MG / ML, Solution pour perfusion",Boite de 50 poches,1053
"TRIGYNON , Comprimé",Boîte de 21,21.4
"TRIBUTINE 150 MG, Sachet",Boîte de 20,45.9
"CLODREL 75 MG, Comprimé pelliculé",Boite de 15,117
"CLOMITER 1 %, Crème",Tube de 30 g,29.7
"ZYMAXID 0,5, Collyre","Flacon de 2,5 ML",106.7
"ERYTHROCINE 500 MG / 5 ML , Granulé pour suspension buvable",1 Flacon de 60 ml,42.5
"VOMISTOP 0,240 g /100 ml , Solution buvable en gouttes",Flacon de 45 ml,11
"SEROQUEL 200 Mg, Comprimé",Boite de 60 comprimés,552
"CEFTRIAXONE MYLAN 1 G, Poudre Soluttion injectable",Boîte de 10 flacons,803
"OPTICILLINE 500 mg Gélule ,",Boîte de 24,83.4
"ALDYZINE 0,138 G, Solution pour usage dentaire",Flacon de 13 ml,
"PYBACTAM 2 MG / 250 MG, Poudre pour solution injectable",Boite unitaire,60.6
"NORMACOL LAVEMENT ENFANTS, Solution rectale",Flacon de 60 ml,21
"HEPARINE SOLUDIA 25000 UI / 5 ML, Solution injectable",Boite de 25 flacon de 5 ML,912
"DERMOFIX 2%, Crème",Tube de 30 g,87.3
"ANOR 10 MG, Comprimé",Boite de 28,176
"MUTESA, Suspension Buvable",Flacon de 200 ml,32.1
"BACTOX 1 G IM, Poudre et solvant pour préparation injectable",Boîte de 1 flacon de Poudre et 1 ampoule de solvant,17.5
CUTACNYL GEL À 5%,Tube de 40 g,36.9
"CARVEDILOL GT 6,25 mg , Comprimé sécable",Boîte de 30,46
"FLUPEN 125 mg / 5 ML, POUDRE POUR SUSPENSION ORALE",Flacon 100 ml,22
"ADRENALINE 1 MG, Ampoule injectable",Boîte de 10 ampoules de 1 ml,21.2
"VISOF 3 MG / ML, Collyre en solution",Flacon de 5 Ml,34.2
"MUSFON 80 MG, Comprimé orodispérsible",Boite de 30,50.4
"GELAFUNDIN 0.04 , Solution pour perfusion IV",Boite de 10 flacon de 500 ML,569
"CLARELUX 500 µg, Mousse pour application cutanée",Boîte de 1 Flacon de 100 g,165.1
"TEGUMA 250 MG, Comprimé",Boîte de 28,199
"APIRETIL 100 MG / ML, Solution orale",Flacon de 60 ml,28.4
"NOVOCLIN 500 MG / 62.5 MG, Sachet",Boîte de 12,79.9
"CYTARABIN EBEWE 20MG/ML, Solution pour perfusion",Flacon de 5 ml,42
"APAZIDE 4 %, Suspension buvable",Flaccon de 100 ml,23.2
"ZALTRAP 25 MG / ML, Solution à diluer pour perfusion",Boite d'un flacon de 4 ML de solution,4024
"STARMOX 125 MG/5 ML, Poudre pour suspension buvable",Flacon de 60 ml,15.3
"CARBOPLATINE AGUETTANT 450 MG/ML,Soluté injectable",Boîte 1 flacon de 45ml,2713
"CO-OLMETEC 20 MG / 12.5 MG, Comprimé pelliculé",Boite de 30,252
"LAROXYL 25 MG, Comprimé enrobé",Boîte de 60,38.7
"AZ 200 MG / 5ML, Poudre pour solution buvable",Flacon de 15 ml,60
"IDEOS 500 mg/400 UI , Comprimé",Boîte de 2 Tubes de 15,53.4
"NEOMOX 250 MG, Comprimé dispersible",Boîte de 12,30.6
"LD-NOR 20 MG, comprimé pelliculé",Boite de 10,37.6
"PERMIXON 160 mg, Gélule",Boîte de 30,153.3
"APROVEL 300 MG, Comprimé",Boîte de 28,218
"AMCARD 10 MG, Comprimé",Boîte de 14,38.9
"CILOXAN 0,003 , Pommade ophtalmique","Tube de 3,5g",60
"TRIMOX FORT 800 / 160 MG, Comprimé",Boîte de 20,29.6
OXAPEN 500 mg gélule,Boîte de 12,
"AMODEX 500 MG, Poudre pour solution buvable",Flacon de 30,38.9
"NERVAX 150 MG, Gélule",Boite de 20,152.1
"ICANAL RETARD , Comprimé",Boîte de 30,140.2
"CLOMID 50 mg , Comprimé",Boîte de 10,73.4
"ZOLOFT 50 MG, Gélule",Boîte de 30,126.8
"ONSET 8 MG / 4 ML, Solution injectable",1 Ampoule de 4ml,90.5
"STAPHYMYCINE 250 mg Gélule,",Boîte de 16,45.2
"DERMASEPT SPRAY, Solution usage externe",Flacon de 125 ML,99
"TEMODAL 20 MG, Gélule",Boîte de 5,840
"IRPHI 150 MG, Comprimé pelliculé",Boite de 30,129
"VIBRA 200 MG, Comprimé",Boîte de 8,89
"NEOCLAV 500 MG, Sachet",Boite de 16 sachets,82
"TREMADOL 50 MG, Comprimé",Boite de 20,44
"BRUFEN 500 mg, Suppositoire",Boîte de 12,23.9
"EPREX 4000 UI/ML, Solution injectable","Boîte de 6 Seringues préremplies de 0,5 ml",1290
"SAPHIR 1 G / 125 MG, Sachet",Boite de 16,116
"CIPROFLOXACINE WIN 250 MG , Comprimé pelliculé",Boite de 10,33.6
"NOVALAC AR DIGEST AGE, Lait",Boite de 400G,85
"PANADOL 500 MG, Suppositoire",Boîte de 10,10.8
"AVAZAR 50 MG, Comprimé",Boite de 14,41.9
"ARTEMON 5 MG / 10 MG, Comprimé",Boite de 30,159.9
"KELO-COTE®, UV 15G",Tube de 15g,270
"INOPRIL 4 MG, Comprimé sécable",Boite de 30,105
GEPRID 4 mg Comprimé ( Retiré du marché ),Boîte de 60,
"SOMATULINE LP (I.M) 30 mg , Poudre et solvant pour suspension injectable",Boîte de 1 Flacon + Ampoule,6437
"ALDACTAZINE 25 / 15 MG, Comprimé",Boîte de 20,39.3
"OXONE 500 MG / 5 ML IM, Poudre et solvant pour solution injectable",Flacon de 20 ml + ampoule de 5 ml de lidocaïne 1%,48.6
"ULCEMAT 200 mg , Comprimé",Boîte de 30,35.7
"FRANCE LAIT PRE, Lait",PPV: 67.00 dhs,
MAG 2 100 mg Comprimé,Boîte de 30,24.5
"CURARTI FORTE, Comprimé",Boite de 15,89.5
"SERETIDE AÉROSOL, Suspension pour inhalation 50mcg/25mcg par dose",Flacon de 120 doses,140
"CO-ICARD 300 MG / 12.5 MG, Comprimé pelliculé",Boite de 14,85
"EXJADE 500 MG, Comprimé dispersible",Boîte de 28,4812
"ATENOR 100 MG, Comprimé",Boîte de 28,37
"CANAFLUCAN 150 MG, Gélule",Boîte de 7,147
"MOTILIUM 1 MG / ML, Suspension buvable",Flacon de 200 ml,40.8
"AUGMENTIN 500 MG / 62.5 MG, Comprimé pelliculé adulte",Boîte de 32,138.3
"DEFLAZACORTE GT 30 MG, Comprimé",Boite de 10,101.4
"COIRBESAR SUN 300 MG / 25 MG, Comprimé pelliculé",Boite de 14,87.3
"CANAFLUCAN 150 MG, Gélule",Boîte de 6,351.4
"ZITHROMAX 400 MG, Sachet",Boîte de 3,256
"METRONIDAZOLE COOPER, SOLUTION INJECTABLE POUR PERFUSION",Boîte de 25 poches de 100 ml,846
NEOCLAV Enfants Sirop,Flacon de 60 ml,63
"NURSIE CONFORT 2EME AGE, Lait",Boite de 400G,68
"ELOXATINE 5 mg , Lyophilisat",Flacon de 20 ml (OXALIPLATINE /100MG),2206
"VOLTARENE EMULGEL 1%, Gel Emulsion",Tube de 50,53
"PHARMATEX 18,9 mg, Ovule",Boîte de 10,44.2
"VALPRO COOPER LP 500 MG, Comprimé pelliculé sécable",Boite de 90,204
"LIRAPYN 25 MG, Gélule",Flacon de 180,401
"LOFAT 67mg, Gélule",Boîte de 60,87
"HÉMO-PUR B1,Soluté pour hémodialyse",Bidon de 5000 ml,
"DANTRON 4 MG, Injectable",Boite 5 ampoules 2ml,321
PROGESTOGEL,Tube de 80 g,23.2
RINO CLENIL 50 µg,Flacon de 30 ml,71.2
"BIOMIL G-FIX, Lait",Boite de 400G,76
"LAMISIL 250 MG, Comprimé sécable",Boîte de 28,493
"ANTISTAPH / PENISTAPH 500 MG, Gélule",Boite de 12,47.8
"DECAPEPTYL 0.1 MG, Solution injectable",Boîte de 7 Flacons + Ampoules,467
"BUDENA 200 µG, Aérosol buccal",Flacon de 200 doses,234
FLAGYL 500 mg /100ml Solution injectable,Boîte de 25 poches,938
"OXIDEN 20 MG, Gélule",Boîte de 10,39.8
"SOCLAV 1G / 125 MG, Poudre pour suspension buvable en sachet",Boîte de 16,124
"NEOFORTAN 80 MG, Comprimé effervescent",Boîte de 10,23
"SCARMED SILICONE, Gel",Tube de 15 G,195
"INFANRIX IPV, Suspension injectable",Boîte de 1 seringue préremplie,177
"MACROMAX 300 MG, Poudre pour suspension buvable en Sachet",Boîte de 3,135
"PLATAMINE 10 MG, Injectable",Boîte de 1 Flacon,67.7
"MARVIL 5 MG, Comprimé enrobé",Boîte de 28,160
"EFDOL CAFEINE 500 MG / 50 MG, Comprimé",Boîte de 20,14.8
"SULIAT HCT 160 MG / 5 MG / 25 MG, Comprimé pelliculé",Boite de 14,105.2
"SWISSLAC 1ER AGE, Lait",Boite de 400G,65
"EXFORGE 10 MG / 160 MG, Comprimé pelliculé",Boîte de 28,361
"D-CURE FORTE, Solution huileuse buvable",Boite de 3 ampoules,49.6
"EFLOXIN 500 MG / 100 ML, Solution pour perfusion",Boite d'un flacon de 100 ML,303
"NEWGLIN 2 MG, Comprimé",Boite de 30,57.6
MIVACRON 10mg/5ml Solution injectable,Boîte de 10 ampoules,
"INEXIUM 10 MG, Sachet",Boite de 28,234
"STANORM 40 MG, Comprimé pelliculé",Boite de 30,155.9
"ERECTOR 25 MG, Comprimé enrobé",Boîte de 4,80
FLUSTAPH 500 mg Gélule,Boîte de 24,72.4
"SIFROL 0.52 MG, Comprimé libération prolongée",Boite de 30,294
"NAVELBINE 20 MG, Capsule molle",Boîte de 1,771
"ZAMOX 500 MG / 62.5 MG, Sachet",Boîte de 12,68
"HERPEVIR 5%, Crème",Tube de 2 g,25
"ISOLONE 5 MG, Comprimé effervescent",Flacon de 30,23
"Dr Rougier, Sirop adulte Plantain",Flacon de 100 ML,49
"TRE-ZEN 20 MG, Comprimé sécable",Boite de 30,130.2
"PARACETAMOL NORMON 10 MG / ML, Solution pour perfusion",Boite de 12 poches de 100 ML,289
"MAGNE B6 10 ml , Solution buvable",Boîte de 10 ampoules,32.9
HEPSERA 10mg Comprimé,Boîte de 30,1921
"GYNO-PEVARYL 150 mg , Ovule",Boîte de 3,70.3
MICROPHYLLINE 200 mg Gélule,Boîte de 30,27.9
"EPISELLE®, Solution","Solution nettoyante avec extrait d'Aloe Vera, Centella, Calendula, etc.",125
"FARMORUBICINE 10 MG / 5 ML, Poudre pour perfusion",Boîte de 1 Ampoule Injectable,110.1
MEBIZOL 2 % Suspension,Flacon de 30 ml,16.3
"DIFLUCAN 150 MG, Gélule",Boîte de 1,57.5
"DIVIDO 75MG, Gellule",20 gélules dosés à 75 mg,51.4
"INFANRIX IPV+HIB, Suspension injectable","seringue préremplie + fl de Vaccin lyophilisé Hib, Boîte de 1",299
"BUTOVENT 4 MG, Comprimé",Boîte de 50,35.1
"NEOMOX 500 MG, Injectable",Boite d'une ampoule,10.2
"CURACNE 5 MG, Capsule molle",Boîte de 30,123
"POLYZAPIN 5 MG, Comprimé",Boite de 30,171
"BUSCOPAN 20 MG / ML, Solution injectable",Boîte de 6 ampoules,23.3
DOUCIA PLUS 27 % Pommade,Tube de 65 g,18.15
"GENTAMICINE CHAUVIN 0,3% , Pommade ophtalmique",Tube de 5 g,24.9
"LOTEVAN 5 MG / 320 MG, Comprimé pelliculé",Boite de 30,381
"ARIPIPHI 30 MG, Comprimé",Boite de 15,292
"NEOFORTAN 40 MG, Comprimé effervescent,",Boîte de 10,40
"THIOBACTIN 250 MG / 5 ML, Granulé pour Suspensionension buvable",Flacon de 60 ml,43.8
"VIBRAMYCINE 100 MG, Comprimé",Boîte de 10,48.2
"BACTOX 1 G, Sachet",Boîte de 12,70.4
"DISPAMOX 125MG, Poudre pour suspension buvable",Flacon de 60 ml,12.6
"ACOL 1000 MG, Comprimé pelliculé",Boite de 30,18.3
"CONVERTAL 25 MG, Comprimé",Boîte de 30,91.8
"PURCARB, Gélules",Boite de 15,49
"LANTUS OPTISET 100U/ml , Solution injectable",Boîte d'un stylo pré-rempli de 3 ml,152.5
"THIOBACTIN 250 MG, Comprimé enrobé",Boîte de 40,73.8
"ODIA 3 mg , Comprimé",Boîte de 30,73
"JANUVIA 100 MG, Comprimé pelliculé",Boîte de 28,393
"SAPHIR 1 G / 125 MG, Sachet",Boite de 24,167
"BRONCHOCIST ENFANT, Sirop",Flacon de 125 ml,15.1
"BISOCARD 10MG, Comprimé pelliculé",Boite de 30,53.9
"COQUELUSEDAL PARACETAMOL ENFANTS 250 mg , Suppositoire",Boîte de 12,21.5
"ZERKA 50 MG, Comprimé",Boite de 4,110
"FLUIBRON ADULTES, Suppositoire",Boîte de 10,52
"RELPAX 40 MG, Comprimé",Boîte de 2,96.7
"CARBOPLATINE COOPER 450 MG / 45 ML, Solution Injectable pour perfusion",Flacon de 50 ml,1553
GLYSET 2 mg Comprimé,Boîte de 30,40
"VIRTAL 20 MG, Comprimé pelliculé",Boite 12,600
"LEVOFLOXACINE NORMON 5MG/ML, Solution injectable",Boite de 1 poche de 100 ml pour injection IV,304
"BAITANET G, Solution gynécologique",Flacon de 550 ml,41
"NAUSELIUM 1 MG / ML,",Flacon de 200 ml,29
"COAPROVEL 300 MG / 25 MG, Comprimé enrobé",Boîte de 14,134.4
"ALYSE 150 MG, Gélule",Boite de 56,340
"OFIKEN 100 MG, Poudre pour suspension buvable - Enfant",Flacon de 60 ml,93.4
"TASECTAN, Capsules",Boite 15,79
"PLAQUENIL 200 MG, Comprimé pelliculé",Boite de 30,51.1
"IMIGRAN 50 MG, Comprimé",Boîte de 2,130.9
"DONA, Sachet",Boite de 30 sachets dosées à 1500 Mg de Sulfate de glucosamine,139
"COIRBESAR SUN 300 MG / 12.5 MG, Comprimé pelliculé",Boite de 28,158
"FEIBA 500U/20ML, Poudre pour perfusion à 25 UI / ML",1 boite de 1 flacon de poudre + 20 ml de solvant,3435
"FLUSTAPH 125 mg, Poudre pour suspension buvable",Flacon de 100 ml,23.4
"DEFAX 30 MG, Comprimé sécable",Boite de 500,2646
"GARDENAL 10 MG, Comprimé",Boîte de 80,38.5
"NITRODERM TTS 10 MG, Patch transdermique",Boîte de 10,99.8
"AMLOR PLUS 10 MG / 10 MG, Comprimé",Boîte de 30,246
"NOVEX 4000 UI antiXa/0,4ml , Solution injectable",Boîte de 2 seringues pré-remplies,132
"IPERTEN 20 mg, Comprimé",Boîte de 28,152
"VIRTAL 10 MG, Comprimé pelliculé",Boite de 4,146
"UNIZITRO 200 MG / 5 ML, Suspension buvable",Flacon de 15 ml,63
"CLOPIDOGREL GT 75 MG, Comprimé pelliculé",Boite de 10,97.2
